"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Malaysia","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","521136",""
"Malaysia","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","43765",""
"Malaysia","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","37805",""
"Malaysia","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","41000",""
"Malaysia","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","42100",""
"Malaysia","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","45679",""
"Malaysia","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","44321",""
"Malaysia","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","44462",""
"Malaysia","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","43810",""
"Malaysia","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","44694",""
"Malaysia","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","45498",""
"Malaysia","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","44305",""
"Malaysia","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","43697",""
"Malaysia","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","528612",""
"Malaysia","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","41441",""
"Malaysia","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","39279",""
"Malaysia","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","43520",""
"Malaysia","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","42136",""
"Malaysia","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","47591",""
"Malaysia","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","43826",""
"Malaysia","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","44972",""
"Malaysia","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","44493",""
"Malaysia","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","45281",""
"Malaysia","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","47292",""
"Malaysia","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","44633",""
"Malaysia","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","44148",""
"Malaysia","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","503914",""
"Malaysia","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","43444",""
"Malaysia","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","38560",""
"Malaysia","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","42977",""
"Malaysia","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","39189",""
"Malaysia","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","45466",""
"Malaysia","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","42334",""
"Malaysia","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","37535",""
"Malaysia","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","43264",""
"Malaysia","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","43019",""
"Malaysia","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","44355",""
"Malaysia","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","42319",""
"Malaysia","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","41452",""
"Malaysia","2012","Total","Total","Data tabulated by year of occurrence","Provisional figure","2014","508774",""
"Malaysia","2012","Total","January","Data tabulated by year of occurrence","Provisional figure","2014","42240",""
"Malaysia","2012","Total","February","Data tabulated by year of occurrence","Provisional figure","2014","39836",""
"Malaysia","2012","Total","March","Data tabulated by year of occurrence","Provisional figure","2014","43269",""
"Malaysia","2012","Total","April","Data tabulated by year of occurrence","Provisional figure","2014","39810",""
"Malaysia","2012","Total","May","Data tabulated by year of occurrence","Provisional figure","2014","44229",""
"Malaysia","2012","Total","June","Data tabulated by year of occurrence","Provisional figure","2014","43129",""
"Malaysia","2012","Total","July","Data tabulated by year of occurrence","Provisional figure","2014","44000",""
"Malaysia","2012","Total","August","Data tabulated by year of occurrence","Provisional figure","2014","45254",""
"Malaysia","2012","Total","September","Data tabulated by year of occurrence","Provisional figure","2014","45047",""
"Malaysia","2012","Total","October","Data tabulated by year of occurrence","Provisional figure","2014","46984",""
"Malaysia","2012","Total","November","Data tabulated by year of occurrence","Provisional figure","2014","43629",""
"Malaysia","2012","Total","December","Data tabulated by year of occurrence","Provisional figure","2014","31347",""
"Malaysia","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2014","511594",""
"Malaysia","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2014","39596",""
"Malaysia","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2014","36446",""
"Malaysia","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2014","43357",""
"Malaysia","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2014","41896",""
"Malaysia","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2014","42160",""
